epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1624.29,1.14377,0.53263,1.04106,0.92739,0.9475,0.96297,0.60604,1.17407,0.51628,1.10444,0.000161,0.000161,0.000161
90,1640.37,1.10692,0.49881,1.03453,0.93024,0.94457,0.96266,0.60102,1.1642,0.50979,1.10085,0.000148625,0.000148625,0.000148625
91,1660.17,1.1642,0.52094,1.14406,0.93452,0.9396,0.95872,0.59118,1.18294,0.51915,1.10509,0.00013625,0.00013625,0.00013625
92,1680.6,1.13715,0.50498,1.1203,0.93072,0.9325,0.95925,0.59531,1.18886,0.51788,1.11019,0.000123875,0.000123875,0.000123875
93,1695.79,1.12138,0.4952,1.10036,0.93511,0.93083,0.96055,0.60381,1.19369,0.5206,1.11202,0.0001115,0.0001115,0.0001115
94,1710.68,1.08665,0.48129,1.08886,0.94634,0.9225,0.95803,0.59568,1.22726,0.52109,1.11031,9.9125e-05,9.9125e-05,9.9125e-05
95,1725.25,1.06239,0.47399,1.09265,0.94549,0.92501,0.95565,0.58694,1.25465,0.52427,1.11572,8.675e-05,8.675e-05,8.675e-05
96,1750.25,1.07907,0.47539,1.0665,0.94701,0.9275,0.9599,0.60345,1.19447,0.50673,1.10397,7.4375e-05,7.4375e-05,7.4375e-05
97,1765.49,1.06875,0.47019,1.05992,0.93346,0.945,0.96103,0.60925,1.15916,0.50121,1.09961,6.2e-05,6.2e-05,6.2e-05
98,1781.07,1.07639,0.4784,1.0938,0.93073,0.95,0.96172,0.61341,1.15589,0.50286,1.09921,4.9625e-05,4.9625e-05,4.9625e-05
99,1797.18,1.05151,0.46475,1.05837,0.93105,0.9475,0.96028,0.61279,1.15624,0.5009,1.09775,3.725e-05,3.725e-05,3.725e-05
100,1812.16,1.05411,0.47231,1.07191,0.93096,0.94667,0.96243,0.61176,1.16756,0.49947,1.09888,2.4875e-05,2.4875e-05,2.4875e-05
